id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13776773,JJ181969,2025-03-14 23:00:00,037XX W DOUGLAS BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,1011,10,24,29,3,1151783.0,1893036.0,2025,2025-03-22 15:41:01,41.862365191,-87.718303732,"
,  
(41.862365191, -87.718303732)",280000,,10.0,night
13776126,JJ182460,2025-03-14 23:00:00,081XX S EVANS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,631,6,6,44,7,1182639.0,1851291.0,2025,2025-03-22 15:41:01,41.747151137,-87.606332713,"
,  
(41.747151137, -87.606332713)",100000,,6.0,night
13780807,JJ188078,2025-03-14 23:00:00,031XX S WABASH AVE,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,211,2,3,35,6,1177234.0,1884424.0,2025,2025-03-22 15:41:01,41.838194943,-87.625137837,"
,  
(41.838194943, -87.625137837)",70000,,5.0,night
13775907,JJ182154,2025-03-14 23:00:00,089XX S OGLESBY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,413,4,7,48,7,1193390.0,1846172.0,2025,2025-03-22 15:41:01,41.732848139,-87.567105766,"
,  
(41.732848139, -87.567105766)",110000,,6.0,night
13778376,JJ185081,2025-03-14 23:00:00,013XX N WELLS ST,291,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,APARTMENT,False,False,1821,18,2,8,2,1174466.0,1909159.0,2025,2025-03-22 15:41:01,41.906131577,-87.634555968,"
,  
(41.906131577, -87.634555968)",60000,,0.0,night
13775891,JJ182151,2025-03-14 23:00:00,118XX S LAFAYETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,522,5,9,53,14,1178040.0,1826515.0,2025,2025-03-22 15:41:01,41.679267846,-87.623932568,"
,  
(41.679267846, -87.623932568)",130000,,6.0,night
13775874,JJ182101,2025-03-14 23:00:00,028XX S KEELER AVE,460,BATTERY,SIMPLE,STREET,False,False,1031,10,22,30,08B,1148846.0,1884845.0,2025,2025-03-22 15:41:01,41.839945278,-87.729296661,"
,  
(41.839945278, -87.729296661)",260000,,10.0,night
13775709,JJ181853,2025-03-14 23:00:00,052XX S MARSHFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,932,9,16,61,08B,1166233.0,1869879.0,2025,2025-03-22 15:41:01,41.79852369,-87.665920163,"
,  
(41.79852369, -87.665920163)",200000,,10.0,night
13779142,JJ185956,2025-03-14 23:00:00,038XX W AINSLIE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1712,17,39,14,26,1149696.0,1932282.0,2025,2025-03-22 15:41:01,41.970100664,-87.724942895,"
,  
(41.970100664, -87.724942895)",430000,,0.0,night
13775869,JJ182108,2025-03-14 23:00:00,006XX E OAKWOOD BLVD,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,214,2,4,38,7,1181120.0,1878808.0,2025,2025-03-22 15:41:01,41.822695433,-87.611051688,"
,  
(41.822695433, -87.611051688)",80000,,6.0,night
